PolicyId,AgeConducteur,SexeConducteur,StatutMatrimonial,BonusMalus,FrequencePaiement,CodeProfession,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
90144365.100b,33.0,M,null,55.0,Half-yearly,null,11.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,South West,523.8261359469321
90194873.100a,40.0,M,null,129.0,Annual,null,7.0,Cheap,P12,Diesel,Professional,Closed zbox,Headquarters,739.5484729894798
90134157.100a,28.0,M,null,55.0,Half-yearly,null,15.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,257.6140814081458
90109178.102a,40.0,M,Cohabiting,140.0,Annual,Private employee,10.0,Cheapest,P7,Regular,Private+trip to office,Closed zbox,Center,376.63406055211016
90170847.100a,23.0,M,null,106.0,Annual,null,34.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Center,492.8684186190136
90134602.100c,39.0,F,null,140.0,Annual,null,13.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Paris area,260.4250740133347
90187000.100a,18.0,F,null,123.0,Half-yearly,null,48.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,623.3064698495252
90157757.100b,36.0,M,null,61.99999999999999,Annual,null,6.0,Affordable cars,P13,Regular,Private+trip to office,Closed collective parking,Paris area,866.2282901506976
90108260.101a,42.0,M,Cohabiting,121.0,Half-yearly,Retiree,5.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,575.4215707817368
90154521.100c,23.0,F,null,77.0,Annual,null,13.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,307.01262343375896
90105733.10c,33.0,M,Married,55.0,Half-yearly,Public employee,8.0,Cheap,P12,Diesel,Professional,Closed zbox,Paris area,586.7494186126345
80200157.10a,31.0,M,Single,55.0,Half-yearly,Private employee,18.0,Affordable cars,P13,Diesel,Private+trip to office,Closed collective parking,Center,255.9103100699584
90134032.100a,50.0,F,null,123.0,Half-yearly,null,25.0,Cheaper,P9,Regular,Private+trip to office,Closed collective parking,Center,269.87268607004023
90145826.100a,40.0,M,null,105.0,Half-yearly,null,10.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,South West,887.4381091958397
90156382.100a,27.0,F,null,69.0,Half-yearly,null,9.0,Cheapest,P10,Diesel,Private+trip to office,Street,Headquarters,714.0527976214256
90133915.100a,36.0,M,null,127.0,Annual,null,12.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,389.0832580575114
90134321.102a,22.0,F,null,101.0,Half-yearly,null,12.0,Affordable cars,P15,Regular,Private+trip to office,Closed collective parking,Center,1108.028449199512
90111574.101b,18.0,F,Married,103.0,Half-yearly,Private employee,23.0,Cheaper,P8,Regular,Private+trip to office,Closed collective parking,Center,587.8333614719639
90135312.100a,40.0,M,null,140.0,Half-yearly,null,14.0,Affordable cars,P14,Diesel,Private+trip to office,Closed zbox,Center,438.36017722579874
90151344.100b,24.0,M,null,61.99999999999999,Monthly,null,8.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,582.6670922068116
90134556.101a,28.0,F,null,56.0,Monthly,null,15.0,Cheap,P14,Regular,Professional,Opened collective parking,Paris area,496.6745543935817
90134296.101a,28.0,F,null,59.0,Half-yearly,null,14.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,325.07708757254625
90156011.100b,26.0,F,null,106.0,Half-yearly,null,53.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,South West,606.3781653635964
90148903.100b,57.0,M,null,121.0,Annual,null,24.0,Affordable cars,P15,Diesel,Private+trip to office,Closed zbox,South West,631.2295568148645
90119083.103c,50.0,M,Cohabiting,141.0,Half-yearly,Retiree,21.0,Luxury cars,P16,Regular,Private+trip to office,Closed collective parking,Headquarters,842.249692568918
90110899.100a,43.0,F,Cohabiting,138.0,Annual,Public employee,6.0,Affordable cars,P14,Diesel,Private+trip to office,Closed zbox,Center,731.9782601268747
90113950.101b,36.0,M,Widowed,85.0,Half-yearly,Public employee,12.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,Paris area,909.4761899304712
90134883.100a,45.0,F,null,165.0,Half-yearly,null,18.0,Cheaper,P12,Regular,Private+trip to office,Street,Paris area,449.7556013291614
90109522.100a,26.0,M,Cohabiting,55.0,Annual,Private employee,12.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,445.3686508984775
90176448.100b,18.0,F,null,98.0,Annual,null,47.0,Cheaper,P11,Diesel,Professional,Street,Center,759.4762724292807
90125987.101a,23.0,M,Cohabiting,55.0,Half-yearly,Public employee,21.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,268.80592126926746
90161002.100a,24.0,F,null,62.99999999999999,Half-yearly,null,12.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,459.2346268350646
90132132.101a,46.0,M,null,121.0,Half-yearly,null,9.0,Affordable cars,P15,Diesel,Private+trip to office,Closed zbox,Paris area,1050.6038091611017
90146227.100b,51.0,F,null,141.0,Annual,null,16.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Headquarters,440.25915479663433
90134301.101b,37.0,M,null,120.0,Annual,null,16.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,278.18425581511985
90148205.101b,32.0,M,null,55.0,Half-yearly,null,8.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Center,324.78555253396485
90167953.100a,26.0,F,null,77.0,Half-yearly,null,8.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,South West,517.4597486355759
10200381.101a,29.0,F,Cohabiting,90.0,Monthly,Public employee,16.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Headquarters,443.748300187571
90181147.100a,31.0,M,null,55.0,Annual,null,12.0,Affordable cars,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,379.5873504280581
90150861.100a,52.0,M,null,126.0,Annual,null,27.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,321.466895039419
90125682.101a,18.0,M,Married,101.0,Half-yearly,Public employee,31.0,Cheaper,P10,Diesel,Private+trip to office,Closed collective parking,Center,467.5314218739279
90153068.101a,43.0,F,null,122.0,Half-yearly,null,10.0,Affordable cars,P14,Diesel,Private+trip to office,Street,Headquarters,652.6343696188073
90170570.100a,23.0,M,null,55.0,Monthly,null,10.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Headquarters,796.6913028156622
90110685.107a,18.0,F,Married,125.0,Annual,Private employee,42.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Center,390.3845364640166
50100252.101a,21.0,F,Cohabiting,116.0,Half-yearly,Other,31.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,598.9635352951284
1009669.100a,22.0,F,Cohabiting,97.0,Half-yearly,Private employee,31.0,Cheaper,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,959.9395741234551
80200760.101b,70.0,M,Cohabiting,118.0,Annual,Farmer,31.0,Cheapest,P10,Regular,Private+trip to office,Street,Center,367.9587234029863
90117161.100c,18.0,F,Married,96.0,Half-yearly,Private employee,38.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,508.12157692630615
90151304.100a,18.0,F,null,100.0,Half-yearly,null,46.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,451.4013913345
90188769.100c,18.0,M,null,132.0,Half-yearly,null,40.0,Cheaper,P11,Regular,Private+trip to office,Closed collective parking,Center,899.4393949073793
90194318.100a,29.0,M,null,95.0,Monthly,null,7.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,1618.7068959227845
90179658.100a,29.0,M,null,74.0,Monthly,null,6.0,Affordable cars,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,1163.7225569861014
90125014.102b,62.0,M,Married,136.0,Half-yearly,Private employee,25.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Paris area,780.3308187590958
90113775.101b,24.0,M,Cohabiting,113.0,Half-yearly,Private employee,48.0,Cheap,P13,Regular,Private+trip to office,Street,Center,695.7356397846187
90132352.101a,36.0,M,null,134.0,Half-yearly,null,9.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,596.5618883100188
90170392.100a,34.0,M,null,81.0,Half-yearly,null,17.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Center,574.0596567557384
1001730.100a,27.0,M,Cohabiting,77.0,Annual,Private employee,9.0,Cheaper,P11,Diesel,Professional,Closed zbox,Headquarters,587.7058508355524
90147548.101a,36.0,F,null,136.0,Annual,null,5.0,Affordable cars,P13,Diesel,Private+trip to office,Closed zbox,Center,610.6075651258194
90167862.100a,49.0,M,null,127.0,Annual,null,23.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Headquarters,261.38804791221094
1002347.101b,21.0,F,Cohabiting,104.0,Half-yearly,Retiree,27.0,Cheap,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,529.8910153005235
90156002.100c,42.0,M,null,145.0,Half-yearly,null,14.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,South West,410.91621587179503
90131596.100a,43.0,M,null,125.0,Annual,null,17.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Center,250.3262504635862
90147704.100a,18.0,M,null,85.0,Half-yearly,null,12.0,Cheapest,P10,Diesel,Private+trip to office,Opened collective parking,South West,725.1122984754267
90119084.101b,21.0,M,Cohabiting,90.0,Annual,Craftsman,15.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Headquarters,526.6441999225807
90131257.100c,29.0,M,Cohabiting,69.0,Annual,Private employee,21.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,189.66083062968835
90192851.100a,19.0,F,null,93.0,Half-yearly,null,41.0,Cheaper,P8,Regular,Private+trip to office,Street,Headquarters,447.66335820176
90114131.101a,37.0,M,Cohabiting,155.0,Half-yearly,Private employee,19.0,Affordable cars,P14,Diesel,Private+trip to office,Street,Paris area,723.96700239906
90153503.101b,52.0,M,null,121.0,Annual,null,37.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,South West,281.910365507561
90128787.100a,30.0,M,Single,100.0,Monthly,Craftsman,6.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Center,934.1528280725798
90160705.100a,44.0,M,null,157.0,Half-yearly,null,9.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,637.211659198493
90161638.101c,31.0,M,null,55.0,Half-yearly,null,10.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Paris area,399.4264758812484
90155048.100b,27.0,M,null,55.0,Half-yearly,null,14.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,413.4138696088201
90107367.101b,29.0,M,Cohabiting,55.0,Half-yearly,Public employee,14.0,Affordable cars,P13,Diesel,Private+trip to office,Opened collective parking,Center,380.21908279310594
90192857.100a,26.0,M,null,85.0,Monthly,null,8.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Headquarters,1480.2709188713789
90135446.100a,39.0,M,null,105.0,Half-yearly,null,12.0,Affordable cars,P13,Diesel,Private+trip to office,Street,Center,617.0871839379308
90109357.101a,39.0,M,Cohabiting,90.0,Annual,Public employee,15.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,433.3717140962646
90189851.100b,21.0,M,null,127.0,Monthly,null,36.0,Affordable cars,P13,Regular,Private+trip to office,Closed zbox,Paris area,1863.5079009946885
90134126.102a,25.0,F,null,77.0,Annual,null,39.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,265.13627656440764
90164646.100a,56.0,M,null,135.0,Annual,null,26.0,Cheapest,P8,Regular,Private+trip to office,Street,South West,372.8596037734576
90130866.100a,31.0,M,Cohabiting,73.0,Half-yearly,Public employee,17.0,Cheap,P13,Regular,Private+trip to office,Street,Headquarters,412.0793714263544
90188093.100a,24.0,F,null,95.0,Half-yearly,null,36.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,South West,587.22129306941
