PolicyId,AgeConducteur,SexeConducteur,StatutMatrimonial,BonusMalus,FrequencePaiement,CodeProfession,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
90144365.100b,40.0,M,null,50.0,Half-yearly,null,6.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,South West,350.0
90194873.100a,46.0,M,null,50.0,Annual,null,2.0,Cheap,P12,Diesel,Professional,Closed zbox,Headquarters,529.2
90134157.100a,37.0,M,null,50.0,Half-yearly,null,10.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,Center,145.3
90109178.102a,51.0,M,Cohabiting,50.0,Annual,Private employee,5.0,Cheapest,P7,Regular,Private+trip to office,Closed zbox,Center,213.6
90170847.100a,29.0,M,null,80.0,Annual,null,10.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Center,296.2
90134602.100c,50.0,F,null,50.0,Annual,null,8.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Paris area,184.7
90187000.100a,23.0,F,null,95.0,Half-yearly,null,9.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,513.6
90157757.100b,41.0,M,null,56.99999999999999,Annual,null,1.0,Medium low,P13,Regular,Private+trip to office,Closed collective parking,Paris area,765.8
90108260.101a,49.0,M,Cohabiting,50.0,Half-yearly,Retiree,0.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,371.2
90154521.100c,32.0,F,null,72.0,Annual,null,8.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,259.3
90105733.10c,42.0,M,Married,50.0,Half-yearly,Public employee,3.0,Cheap,P12,Diesel,Professional,Closed zbox,Paris area,363.2
80200157.10a,39.0,M,Single,50.0,Half-yearly,Private employee,13.0,Medium high,P13,Diesel,Private+trip to office,Closed collective parking,Center,266.3
90134032.100a,58.0,F,null,50.0,Half-yearly,null,10.0,Cheaper,P9,Regular,Private+trip to office,Closed collective parking,Center,274.3
90145826.100a,45.0,M,null,100.0,Half-yearly,null,5.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,South West,835.7
90156382.100a,36.0,F,null,64.0,Half-yearly,null,4.0,Cheapest,P10,Diesel,Private+trip to office,Street,Headquarters,425.6
90133915.100a,47.0,M,null,50.0,Annual,null,7.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,258.6
90134321.102a,31.0,F,null,96.0,Half-yearly,null,7.0,Medium high,P15,Regular,Private+trip to office,Closed collective parking,Center,994.1
90111574.101b,26.0,F,Married,85.0,Half-yearly,Private employee,2.0,Cheaper,P8,Regular,Private+trip to office,Closed collective parking,Center,500.1
90135312.100a,47.0,M,null,50.0,Half-yearly,null,9.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Center,438.0
90151344.100b,37.0,M,null,56.99999999999999,Quarterly,null,3.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,283.4
90134556.101a,33.0,F,null,51.0,Monthly,null,10.0,Cheap,P14,Regular,Professional,Opened collective parking,Paris area,371.0
90134296.101a,37.0,F,null,54.0,Half-yearly,null,9.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,246.5
90156011.100b,30.0,F,null,80.0,Half-yearly,null,9.0,Cheaper,P10,Diesel,Private+trip to office,Closed zbox,South West,376.1
90148903.100b,64.0,M,null,50.0,Annual,null,7.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,South West,553.5
90119083.103c,57.0,M,Cohabiting,50.0,Half-yearly,Retiree,8.0,More expensive,P16,Regular,Private+trip to office,Closed collective parking,Headquarters,737.3
90110899.100a,49.0,F,Cohabiting,50.0,Annual,Public employee,1.0,Medium high,P14,Diesel,Private+trip to office,Closed zbox,Center,682.2
90113950.101b,43.0,M,Widowed,80.0,Half-yearly,Public employee,7.0,Cheaper,P11,Regular,Private+trip to office,Opened collective parking,Paris area,828.5
90134883.100a,50.0,F,null,85.0,Half-yearly,null,13.0,Cheaper,P12,Regular,Private+trip to office,Street,Paris area,360.1
90109522.100a,32.0,M,Cohabiting,50.0,Annual,Private employee,7.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,266.2
90176448.100b,25.0,F,null,71.0,Annual,null,7.0,Cheaper,P11,Diesel,Professional,Street,Center,652.6
90125987.101a,31.0,M,Cohabiting,50.0,Half-yearly,Public employee,16.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Center,131.5
90161002.100a,35.0,F,null,57.99999999999999,Half-yearly,null,7.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,308.2
90132132.101a,51.0,M,null,59.0,Half-yearly,null,4.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,Paris area,971.6
90146227.100b,65.0,F,null,50.0,Annual,null,3.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Headquarters,265.4
90134301.101b,50.0,M,null,50.0,Annual,null,11.0,Cheapest,P10,Diesel,Private+trip to office,Closed zbox,Center,158.2
90148205.101b,43.0,M,null,50.0,Half-yearly,null,3.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,Center,266.4
90167953.100a,32.0,F,null,72.0,Half-yearly,null,3.0,Cheapest,P9,Regular,Private+trip to office,Closed collective parking,South West,486.1
10200381.101a,36.0,F,Cohabiting,85.0,Monthly,Public employee,11.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Headquarters,383.0
90181147.100a,41.0,M,null,50.0,Annual,null,7.0,Medium low,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,279.0
90150861.100a,60.0,M,null,62.0,Annual,null,12.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,218.1
90125682.101a,26.0,M,Married,72.0,Half-yearly,Public employee,7.0,Cheaper,P10,Diesel,Private+trip to office,Closed collective parking,Center,314.5
90153068.101a,53.0,F,null,50.0,Half-yearly,null,5.0,Medium,P14,Diesel,Private+trip to office,Street,Headquarters,640.4
90170570.100a,32.0,M,null,50.0,Quarterly,null,5.0,Cheaper,P12,Regular,Private+trip to office,Closed zbox,Headquarters,619.2
90110685.107a,19.0,F,Married,100.0,Annual,Private employee,9.0,Cheapest,P7,Regular,Private+trip to office,Closed collective parking,Center,368.6
50100252.101a,23.0,F,Cohabiting,85.0,Half-yearly,Other,9.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,Center,418.9
1009669.100a,26.0,F,Cohabiting,76.0,Half-yearly,Private employee,6.0,Cheaper,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,776.5
80200760.101b,77.0,M,Cohabiting,50.0,Annual,Farmer,14.0,Cheapest,P10,Regular,Private+trip to office,Street,Center,160.8
90117161.100c,27.0,F,Married,72.0,Half-yearly,Private employee,6.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,410.1
90151304.100a,24.0,F,null,75.0,Half-yearly,null,8.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,315.4
90188769.100c,22.0,M,null,100.0,Half-yearly,null,9.0,Cheaper,P11,Regular,Private+trip to office,Closed collective parking,Center,802.0
90194318.100a,38.0,M,null,90.0,Quarterly,null,2.0,Cheapest,P10,Regular,Private+trip to office,Closed zbox,Paris area,1269.2
90179658.100a,35.0,M,null,69.0,Quarterly,null,1.0,Medium,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,1148.8
90125014.102b,68.0,M,Married,68.0,Half-yearly,Private employee,5.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Paris area,537.3
90113775.101b,29.0,M,Cohabiting,90.0,Half-yearly,Private employee,13.0,Cheap,P13,Regular,Private+trip to office,Street,Center,657.9
90132352.101a,46.0,M,null,54.0,Half-yearly,null,4.0,Cheaper,P12,Diesel,Private+trip to office,Closed zbox,Center,359.5
90170392.100a,40.0,M,null,76.0,Half-yearly,null,12.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Center,378.0
1001730.100a,37.0,M,Cohabiting,72.0,Annual,Private employee,4.0,Cheaper,P11,Diesel,Professional,Closed zbox,Headquarters,450.5
90147548.101a,49.0,F,null,50.0,Annual,null,0.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,503.3
90167862.100a,58.0,M,null,50.0,Annual,null,6.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,Headquarters,194.3
1002347.101b,28.0,F,Cohabiting,72.0,Half-yearly,Retiree,9.0,Cheap,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,314.1
90156002.100c,51.0,M,null,50.0,Half-yearly,null,9.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,South West,300.8
90131596.100a,47.0,M,null,50.0,Annual,null,12.0,Cheaper,P10,Regular,Private+trip to office,Opened collective parking,Center,156.0
90147704.100a,31.0,M,null,80.0,Half-yearly,null,7.0,Cheapest,P10,Diesel,Private+trip to office,Opened collective parking,South West,470.6
90119084.101b,31.0,M,Cohabiting,85.0,Annual,Craftsman,10.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,Headquarters,444.5
90131257.100c,33.0,M,Cohabiting,64.0,Annual,Private employee,16.0,Cheapest,P9,Regular,Private+trip to office,Street,Center,162.0
90192851.100a,28.0,F,null,76.0,Half-yearly,null,3.0,Cheaper,P8,Regular,Private+trip to office,Street,Headquarters,386.6
90114131.101a,47.0,M,Cohabiting,72.0,Half-yearly,Private employee,14.0,Medium low,P14,Diesel,Private+trip to office,Street,Paris area,748.0
90153503.101b,60.0,M,null,50.0,Annual,null,21.0,Cheapest,P8,Regular,Private+trip to office,Closed zbox,South West,147.6
90128787.100a,37.0,M,Single,95.0,Quarterly,Craftsman,1.0,Cheapest,P10,Regular,Private+trip to office,Closed collective parking,Center,710.1
90160705.100a,49.0,M,null,90.0,Half-yearly,null,4.0,Cheapest,P8,Regular,Private+trip to office,Street,Paris area,461.9
90161638.101c,38.0,M,null,50.0,Half-yearly,null,5.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Paris area,208.6
90155048.100b,37.0,M,null,50.0,Half-yearly,null,9.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,239.4
90107367.101b,35.0,M,Cohabiting,50.0,Half-yearly,Public employee,9.0,Medium,P13,Diesel,Private+trip to office,Opened collective parking,Center,368.3
90192857.100a,37.0,M,null,80.0,Quarterly,null,3.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Headquarters,1124.4
90135446.100a,45.0,M,null,100.0,Half-yearly,null,7.0,Medium low,P13,Diesel,Private+trip to office,Street,Center,642.8
90109357.101a,44.0,M,Cohabiting,85.0,Annual,Public employee,10.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,231.5
90189851.100b,28.0,M,null,101.0,Monthly,null,2.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Paris area,1848.2
90134126.102a,29.0,F,null,56.99999999999999,Annual,null,9.0,Cheaper,P11,Regular,Private+trip to office,Closed zbox,Center,171.6
90164646.100a,63.0,M,null,56.99999999999999,Annual,null,11.0,Cheapest,P8,Regular,Private+trip to office,Street,South West,241.3
90130866.100a,37.0,M,Cohabiting,68.0,Half-yearly,Public employee,12.0,Cheap,P13,Regular,Private+trip to office,Street,Headquarters,363.7
90188093.100a,28.0,F,null,73.0,Half-yearly,null,6.0,Cheapest,P8,Regular,Private+trip to office,Opened collective parking,South West,459.2
90111218.101b,23.0,F,Cohabiting,112.0,Annual,Private employee,9.0,Cheapest,P9,Regular,Private+trip to office,Opened collective parking,Center,532.5
90178025.100c,37.0,F,null,50.0,Annual,null,10.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,South West,291.9
90141516.100a,70.0,F,null,50.0,Half-yearly,null,9.0,Cheapest,P8,Regular,Private+trip to office,Street,Center,207.5
90145942.100a,28.0,F,null,67.0,Half-yearly,null,4.0,Expensive,P16,Diesel,Private+trip to office,Closed zbox,South West,1193.7
90135294.102a,28.0,F,null,90.0,Half-yearly,null,7.0,Cheaper,P12,Diesel,Private+trip to office,Street,Center,720.5
90141460.100b,38.0,M,null,55.00000000000001,Half-yearly,null,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,529.4
90146366.100b,54.0,M,null,50.0,Half-yearly,null,3.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Center,396.8
90169908.100a,46.0,M,null,50.0,Half-yearly,null,3.0,Medium,P13,Diesel,Professional,Opened collective parking,Center,652.4
90154023.100a,39.0,M,null,50.0,Half-yearly,null,1.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,South West,593.5
90106731.10a,29.0,M,Cohabiting,80.0,Quarterly,Private employee,0.0,Cheaper,P12,Regular,Private+trip to office,Street,Center,1032.8
90184989.100a,67.0,M,null,68.0,Annual,null,12.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Headquarters,387.5
90161427.100a,67.0,M,null,50.0,Annual,null,6.0,Cheap,P12,Diesel,Private+trip to office,Street,Headquarters,335.0
90194399.101b,23.0,M,null,95.0,Half-yearly,null,15.0,Cheapest,P9,Regular,Private+trip to office,Closed zbox,Headquarters,540.0
90145468.100a,35.0,F,null,50.0,Half-yearly,null,10.0,Cheaper,P9,Regular,Private+trip to office,Closed zbox,South West,191.0
90154164.100b,31.0,M,null,56.99999999999999,Half-yearly,null,8.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,322.2
90127252.101a,39.0,F,Cohabiting,50.0,Half-yearly,Private employee,13.0,Cheapest,P8,Regular,Professional run,Closed zbox,Center,175.9
90155362.101a,42.0,M,null,56.99999999999999,Annual,null,9.0,Cheapest,P10,Diesel,Private+trip to office,Closed collective parking,South West,193.2
90172120.100b,24.0,F,null,85.0,Half-yearly,null,9.0,Cheaper,P10,Regular,Private+trip to office,Closed zbox,Headquarters,392.5
90183809.100a,72.0,M,null,50.0,Annual,null,5.0,Medium low,P12,Regular,Private+trip to office,Closed collective parking,Paris area,453.3
90126705.101a,47.0,F,Widowed,83.0,Annual,Private employee,5.0,Cheapest,P9,Diesel,Private+trip to office,Street,Center,495.5
